order,Color
CCKIN,#DC143C
CMPN,#DC143C
CP,#DC143C
DPEX,#DC143C
ENDO,#DC143C
IMN,#DC143C
MCG,#DC143C
MPEX,#DC143C
MPIN,#DC143C
MSN,#DC143C
NPTXEX,#DC143C
NPYIN,#DC143C
NTNG1EX,#DC143C
OBNBL,#DC143C
OLIGO,#DC143C
REAEGC,#DC143C
RIBEGC,#DC143C
SCGNIN,#DC143C
SFRPEGC,#DC143C
SSTIN,#DC143C
TAC2IN,#DC143C
RIPC1,#DC143C
RIPC2,#DC143C
RIPC3,#DC143C
RIPC4,#DC143C
TLNBL,#DC143C
UnKnown,#DC143C
VLMC,#DC143C
WNTEGC,#DC143C
WSN,#DC143C
Immature DPEX,#DC143C
Immature CCKIN,#DC143C
Immature MSN,#DC143C
DNBL5,#DC143C
Immature MPEX,#DC143C
DNBL4,#DC143C
Immature NPTXEX,#DC143C
DNBL2,#DC143C
DEGC,#DC143C
DNBL1,#DC143C
Immature DMIN,#DC143C
DNBL3,#DC143C
Immature CMPN,#DC143C
